Month	Sales
1-Jan	1359.795
2-Jan	1278.564
3-Jan	1508.327
4-Jan	1419.71
5-Jan	1440.51
6-Jan	1424.376
7-Jan	1247.704
8-Jan	495.498
9-Jan	1278.119
10-Jan	1428.715
11-Jan	1221.37
12-Jan	1314.325
1-Feb	1528.94
2-Feb	1486.73
3-Feb	1606.325
4-Feb	1545.355
5-Feb	1489.075
6-Feb	1667.295
7-Feb	1198.295
8-Feb	506.52
9-Feb	1350.72
10-Feb	1402.31
11-Feb	1475.005
12-Feb	1458.59
1-Mar	1416.38
2-Mar	1531.285
3-Mar	1761.095
4-Mar	1632.12
5-Mar	1711.85
6-Mar	1664.95
7-Mar	1435.14
8-Mar	572.18
9-Mar	1477.35
10-Mar	1622.74
11-Mar	1730.61
12-Mar	1641.5
1-Apr	1554.735
2-Apr	1739.99
3-Apr	2002.63
4-Apr	1648.535
5-Apr	1657.915
6-Apr	1948.695
7-Apr	1292.095
8-Apr	555.765
9-Apr	1486.73
10-Apr	1535.975
11-Apr	1650.88
12-Apr	1700.125
1-May	1800.96
2-May	1798.615
3-May	1922.9
4-May	1732.955
5-May	1723.575
6-May	1847.86
7-May	1479.695
8-May	581.56
9-May	1564.115
10-May	1648.535
11-May	1716.54
12-May	1690.745
1-Jun	1915.865
2-Jun	1925.245
3-Jun	2007.32
4-Jun	1892.415
5-Jun	1376.515
6-Jun	1749.37
7-Jun	1728.265
8-Jun	668.325
9-Jun	1671.985
10-Jun	2112.845
11-Jun	1817.375
12-Jun	1838.48
1-Jul	2030.77
2-Jul	1969.8
3-Jul	2124.57
4-Jul	1908.83
5-Jul	1887.725
6-Jul	2051.875
7-Jul	1568.805
8-Jul	811.37
9-Jul	1627.43
10-Jul	2061.255
11-Jul	1636.81
12-Jul	2164.435
1-Aug	1789.235
2-Aug	1990.905
3-Aug	2117.535
4-Aug	2021.39
5-Aug	1667.295
6-Aug	2042.495
7-Aug	1571.15
8-Aug	712.88
9-Aug	1641.5
10-Aug	1648.535
11-Aug	1639.155
12-Aug	1946.35
1-Sep	1960.42
2-Sep	1990.905
3-Sep	2206.645
4-Sep	1815.03
5-Sep	1876
6-Sep	2305.135
7-Sep	1899.45
8-Sep	511.21
9-Sep	1906.485
10-Sep	1798.615
11-Sep	1840.825
12-Sep	1972.145
1-Oct	2012.01
2-Oct	2424.73
3-Oct	2413.005
4-Oct	2080.015
5-Oct	2061.255
6-Oct	2483.355
7-Oct	1807.995
8-Oct	832.475
9-Oct	1953.385
10-Oct	2126.915
11-Oct	2148.02
12-Oct	2176.16
1-Nov	2279.34
2-Nov	2356.725
3-Nov	2485.7
4-Nov	2305.135
5-Nov	2502.115
6-Nov	2288.72
7-Nov	2072.98
8-Nov	785.575
9-Nov	1995.595
10-Nov	2940.63
11-Nov	2912.49
12-Nov	2680.335
1-Dec	2743.65
2-Dec	2417.695
3-Dec	2649.85
4-Dec	2309.825
5-Dec	2640.47
6-Dec	2366.105
7-Dec	2084.705
8-Dec	877.03
9-Dec	2220.715
10-Dec	2253.545
11-Dec	1620.395
12-Dec	1618.05
13-01	1488.371
13-02	1541.462
13-03	1642.743
